	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene stable ID
205	13	30780753	30780836	AL356750.1	ENSG00000266816
206	13	30855902	30856006	RNU6-64P	ENSG00000252928
207	13	103532449	103548383	METTL21EP	ENSG00000250878
208	13	30870284	30870872	PRDX2P1	ENSG00000215049
209	13	103541208	103542184	RP11-255P5.2	ENSG00000272542
210	13	30890497	30894040	LINC00427	ENSG00000236463
211	13	104077550	104080035	RP11-123H22.1	ENSG00000234551
212	13	104096970	104097318	ATP6V1G1P7	ENSG00000230474
213	13	105466678	105467420	RPL7P45	ENSG00000225823
214	13	106111404	106158030	DAOA-AS1	ENSG00000232307
215	13	30914407	30951282	LINC00426	ENSG00000238121
216	13	106356629	106416789	LINC00343	ENSG00000226620
217	13	30993656	30996374	LINC01058	ENSG00000225039
219	13	106549872	106549992	SNORA25	ENSG00000252550
220	13	31002084	31002656	UBE2L5P	ENSG00000236444
221	13	106780720	106780837	AL603632.1	ENSG00000222643
222	13	106807721	106807839	RNA5SP38	ENSG00000222682
223	13	31113734	31117598	RBM22P2	ENSG00000213411
224	13	107028911	107030565	LINC00460	ENSG00000233532
225	13	31115780	31117034	MFAP1P1	ENSG00000232489
226	13	107078121	107078470	RPL35P9	ENSG00000174418
227	13	31127807	31128830	PTPN2P2	ENSG00000224117
228	13	107270158	107283707	LINC00551	ENSG00000272274
229	13	107306264	107324511	LINC00443	ENSG00000230156
230	13	31377343	31384782	LINC00398	ENSG00000237879
231	13	107315785	107316195	ATP5G1P5	ENSG00000227590
232	13	107516164	107516634	PPIAP24	ENSG00000174408
233	13	31456070	31507983	TEX26-AS1	ENSG00000224743
234	13	107594562	107594907	AL162574.1	ENSG00000196777
235	13	107627286	107627374	AL354741.1	ENSG00000239050
236	13	107773381	107773471	AL445204.1	ENSG00000221316
237	13	107973243	107973311	SNORD31	ENSG00000201847
238	13	108183519	108183596	MIR1267	ENSG00000221650
239	13	108288379	108288464	AL138710.1	ENSG00000221473
240	13	108440690	108487799	FAM155A-IT1	ENSG00000227248
241	13	108953560	108953679	RNA5SP39	ENSG00000223177
242	13	109132574	109134165	HCFC2P1	ENSG00000232087
243	13	109753609	109754267	MYO16-AS2	ENSG00000229938
244	13	31456688	31457532	LINC00545	ENSG00000236094
245	13	109816250	109853831	MYO16-AS1	ENSG00000236242
246	13	31547426	31551760	RP11-252M21.6	ENSG00000238185
247	13	109934321	109940081	LINC00370	ENSG00000223617
248	21	19986749	20022678	AF240627.2	ENSG00000230233
249	13	31569299	31570275	LINC01066	ENSG00000230403
250	13	109962483	109964121	LINC01067	ENSG00000236053
252	21	20058408	20058482	MIR548X	ENSG00000265841
253	13	31651391	31689836	WDR95P	ENSG00000231894
254	13	110053043	110053988	LINC00399	ENSG00000229792
255	21	20076689	20076772	AP001537.1	ENSG00000221041
256	13	110380629	110382354	LINC00676	ENSG00000234854
257	21	20230097	20230594	PPIAP22	ENSG00000198618
258	13	31885426	31887058	ANKRD26P4	ENSG00000229427
259	13	110407168	110407615	AL162497.1	ENSG00000255813
260	13	110567443	110567767	RN7SKP10	ENSG00000201161
261	13	110705632	110707299	LINC00396	ENSG00000231428
262	21	20290252	20308177	AL157359.4	ENSG00000232193
263	13	32420978	32527609	EEF1DP3	ENSG00000229715
264	21	20325582	20339376	AL157359.3	ENSG00000226204
265	13	110750200	110750498	RN7SL783P	ENSG00000265885
266	13	111066552	111066653	snoU13	ENSG00000238629
267	21	20418629	20420003	AP000431.1	ENSG00000235965
268	13	111108743	111115634	COL4A2-AS2	ENSG00000224821
269	13	32559822	32565134	LINC01073	ENSG00000235822
270	21	20502841	20506741	AP000431.2	ENSG00000229289
271	13	32599451	32605776	FRY-AS1	ENSG00000237637
272	13	111154922	111160526	COL4A2-AS1	ENSG00000232814
273	21	20616860	20618709	SLC6A6P1	ENSG00000226818
274	13	32872291	32872849	RP11-37E23.5	ENSG00000230633
275	13	111291555	111292340	AL139385.1	ENSG00000255831
276	21	20673930	20676056	AP000855.4	ENSG00000231620
277	13	32958797	32960245	IFIT1P1	ENSG00000215515
278	13	111415021	111415480	RPL21P107	ENSG00000225239
279	21	20717465	20717629	RNU1-139P	ENSG00000212609
280	13	111462023	111465431	LINC00567	ENSG00000259831
281	13	32994527	32994653	SNORA16	ENSG00000212293
282	21	20966155	20966422	RPL37P4	ENSG00000230198
283	13	32999495	33007091	RP11-298P3.4	ENSG00000270008
284	13	111547406	111551519	ANKRD10-IT1	ENSG00000229152
285	21	20993009	20993859	AP000403.3	ENSG00000271486
286	21	21112023	21112464	AP000568.2	ENSG00000229336
287	13	33051411	33052978	ATP8A2P2	ENSG00000229800
288	13	111589106	111592131	PARP1P1	ENSG00000227105
289	21	21131673	21132442	C1QBPP	ENSG00000215353
290	21	21265593	21272069	AP000946.2	ENSG00000233480
291	13	111635654	111642911	LINC00431	ENSG00000225760
292	21	21629065	21631133	AP001171.1	ENSG00000233236
293	13	111748185	111755444	LINC00368	ENSG00000225870
294	21	21728060	21728164	RNU6-772P	ENSG00000251851
295	21	21728965	21729208	RN7SKP147	ENSG00000252963
296	13	111766159	111768025	ARHGEF7-AS2	ENSG00000235875
297	13	33337576	33337690	RNY1P4	ENSG00000207325
298	21	21760646	21761157	FDPSP6	ENSG00000233676
299	13	33451569	33485788	LINC00423	ENSG00000226968
300	13	111774999	111796611	ARHGEF7-IT1	ENSG00000233644
301	21	21797261	21798518	KRT18P2	ENSG00000234439
302	13	111796652	111797080	ARHGEF7-AS1	ENSG00000227352
303	13	33528195	33528539	TOMM22P3	ENSG00000227604
304	21	21802755	21803074	RPS3AP1	ENSG00000233206
305	13	33615489	33615580	AL161898.1	ENSG00000221677
306	13	112248356	112294426	RP11-65D24.1	ENSG00000215881
307	13	33732724	33738546	STARD13-IT1	ENSG00000230300
309	13	112554299	112555490	LINC00354	ENSG00000226903
310	21	22114908	22175534	LINC00320	ENSG00000224924
311	13	112563079	112563148	AL136302.1	ENSG00000264989
312	13	112706392	112706452	SNORD44	ENSG00000200072
313	13	112737863	112739785	RP11-450H6.3	ENSG00000260385
314	13	112760409	112761196	LINC00404	ENSG00000229520
315	21	22200445	22200940	PPIAP1	ENSG00000215351
316	13	112761433	112762329	LINC00403	ENSG00000224243
317	21	22595616	22599150	AP001136.2	ENSG00000226771
318	13	112851664	112855314	LINC01070	ENSG00000260102
319	21	22770068	22770146	AP001137.1	ENSG00000221210
320	21	22939084	22987758	AF241725.4	ENSG00000234730
321	13	112967781	112976072	LINC01043	ENSG00000260343
322	21	23006773	23007049	AF241725.1	ENSG00000198434
323	13	112976881	112985539	LINC01044	ENSG00000223626
324	21	23027359	23058649	AF241725.6	ENSG00000237527
325	13	113372159	113372228	AL162711.1	ENSG00000264726
326	13	113399763	113409007	ATP11A-AS1	ENSG00000232684
327	21	23095613	23109639	LINC00317	ENSG00000238265
328	13	113539551	113539994	AL356740.1	ENSG00000234603
329	13	33845516	33855471	STARD13-AS	ENSG00000236581
330	13	113619149	113620445	RP11-120K24.3	ENSG00000267868
331	15	20169919	20170354	IGHV1OR15-9	ENSG00000188403
332	13	113621798	113623138	MCF2L-AS1	ENSG00000235280
333	13	113663092	113663738	RP11-120K24.4	ENSG00000269356
334	21	23119293	23169735	AP000475.2	ENSG00000233997
335	13	113663985	113664633	RP11-120K24.5	ENSG00000269376
336	13	113782469	113783194	F10-AS1	ENSG00000231882
337	13	113784730	113786368	KARSP2	ENSG00000230371
338	15	20192909	20193370	IGHV3OR15-7	ENSG00000259490
339	13	113819316	113819497	RP11-98F14.11	ENSG00000269125
340	21	23305635	23348000	AP000472.3	ENSG00000227075
341	13	113930931	113932049	LDHBP1	ENSG00000232662
342	15	20209093	20209115	IGHD5OR15-5A	ENSG00000270961
343	13	114005988	114016183	GRTP1-AS1	ENSG00000225083
344	21	23381263	23470778	AP000472.2	ENSG00000233215
345	13	114123216	114130450	DCUN1D2-AS	ENSG00000233613
346	15	20210050	20210068	IGHD4OR15-4A	ENSG00000271317
347	13	114133230	114133393	RNU1-16P	ENSG00000202347
348	13	114451484	114454062	LINC00552	ENSG00000227208
349	15	20211158	20211188	IGHD3OR15-3A	ENSG00000270783
350	13	114518603	114542321	GAS6-AS1	ENSG00000233695
351	15	20213655	20213685	IGHD2OR15-2A	ENSG00000271197
352	13	114567141	114569806	GAS6-AS2	ENSG00000272695
353	21	23470936	23488847	LINC00308	ENSG00000184856
354	13	33907816	33909414	RP11-141M1.1	ENSG00000227911
355	13	114580581	114582349	RP11-199F6.4	ENSG00000237699
356	15	20216406	20216422	IGHD1OR15-1A	ENSG00000271336
357	13	33911020	33911109	AL138999.1	ENSG00000264288
358	18	21852889	21853170	RN7SL247P	ENSG00000265259
360	21	23507018	23508403	AP000705.8	ENSG00000234340
361	13	33929343	34250905	RP11-141M1.3	ENSG00000230490
362	18	21901650	21901699	MIR320C2	ENSG00000212051
363	13	114581673	114586624	LINC00454	ENSG00000226921
364	18	21944751	21947948	RP11-621L6.2	ENSG00000264365
365	18	21982117	21982678	RP11-621L6.3	ENSG00000273321
366	13	34185104	34185659	RP11-37L2.1	ENSG00000234535
367	13	34231573	34234065	RP11-179A7.2	ENSG00000232986
368	18	22009469	22009573	Y_RNA	ENSG00000199636
369	18	22015328	22019602	RP11-178F10.1	ENSG00000265094
370	13	34403676	34403786	RNU5A-4P	ENSG00000252397
371	13	34486129	34486218	AL161891.1	ENSG00000263663
372	13	34656566	34657447	VDAC1P12	ENSG00000227254
373	13	114586640	114626485	LINC00452	ENSG00000229373
374	13	34674848	34674975	SNORA25	ENSG00000199196
375	15	20737094	20747114	GOLGA6L6	ENSG00000215405
376	13	34922180	35188307	RP11-16D22.2	ENSG00000271850
377	13	35009587	35214822	LINC00457	ENSG00000225179
378	21	23526270	23526619	AP000705.6	ENSG00000231136
379	13	114629487	114631817	LINC00565	ENSG00000260910
380	13	35120066	35245319	RP11-266E6.3	ENSG00000271901
381	21	23577511	23577651	RNU4-45P	ENSG00000202339
382	13	114873044	114874295	RASA3-IT1	ENSG00000232487
383	21	23582258	23793139	AP000705.7	ENSG00000226043
384	13	35148341	35148803	GAMTP2	ENSG00000231910
385	13	115009980	115010036	MIR548AR	ENSG00000264539
386	13	35499971	35502213	RP11-307O13.1	ENSG00000261728
387	21	23808610	23810669	MAPK6PS2	ENSG00000223488
388	13	115039303	115039383	MIR4502	ENSG00000265450
389	13	35759431	35760816	SCAND3P1	ENSG00000232795
390	13	115072121	115072541	CLCP2	ENSG00000226158
391	13	35825207	35825966	PHBP13	ENSG00000234835
392	13	115095034	115099423	LINC01054	ENSG00000229723
393	15	21004687	21005367	AC012414.1	ENSG00000268343
394	13	36068551	36068674	AL390071.1	ENSG00000221519
395	13	36271661	36273393	LINC00445	ENSG00000236036
396	13	36841305	36841411	RNU6-71P	ENSG00000207203
397	21	10862622	10863067	IGHV1OR21-1	ENSG00000169861
398	13	36929928	36930015	AL139377.1	ENSG00000266047
399	13	37064215	37064578	HIST1H2APS6	ENSG00000223383
400	13	37302739	37302829	AL136160.1	ENSG00000222602
401	13	37314178	37315000	GAPDHP34	ENSG00000235306
402	13	37316015	37316602	TCEAL4P1	ENSG00000223543
403	13	37363469	37369187	ARL2BPP3	ENSG00000215486
405	15	21040701	21071643	POTEB2	ENSG00000230031
406	13	37378335	37379439	NDE1P2	ENSG00000271337
407	13	37423503	37424183	SMAD9-AS1	ENSG00000236711
408	13	37496676	37497045	LAMTOR3P1	ENSG00000228825
409	13	37500575	37501356	RPL29P28	ENSG00000232378
410	13	37512537	37513631	EIF4A1P5	ENSG00000226161
411	13	37608814	37608929	AL138706.1	ENSG00000221100
412	13	37740489	37740795	RN7SKP1	ENSG00000202395
413	13	37794997	37795383	RPS12P24	ENSG00000230283
414	21	23872924	23892377	AP000959.2	ENSG00000234034
415	13	38055604	38058906	LINC01048	ENSG00000230390
416	21	24052992	24053286	RN7SL609P	ENSG00000263796
417	13	38428989	38429107	RNA5SP26	ENSG00000199276
418	21	24254903	24256321	AP000949.1	ENSG00000225906
419	13	38567222	38568857	HSPD1P9	ENSG00000228036
420	21	24437813	24503528	AP001255.2	ENSG00000230972
422	13	38624954	38717369	LINC00571	ENSG00000223685
423	21	24462350	24464153	ZNF299P	ENSG00000219368
424	13	39107480	39119436	LINC00437	ENSG00000236354
425	21	24473545	24475396	MSANTD2P1	ENSG00000231058
426	13	39150777	39153131	LINC00366	ENSG00000229437
427	21	24654058	24654231	RNU2-55P	ENSG00000223078
428	13	39191556	39192077	PRDX3P3	ENSG00000234701
429	21	24733426	24757182	AP000459.4	ENSG00000228592
430	13	39353561	39353653	RNU6-56P	ENSG00000252795
431	13	39364781	39364891	AL590007.1	ENSG00000212049
432	15	21215823	21215845	IGHD5OR15-5B	ENSG00000270824
433	13	39395935	39401707	FREM2-AS1	ENSG00000225350
434	13	39476524	39476787	PLA2G12AP2	ENSG00000225221
435	15	21216780	21216798	IGHD4OR15-4B	ENSG00000270451
436	13	39496864	39510336	ANKRD26P2	ENSG00000235550
437	21	24762579	24763317	EEF1A1P1	ENSG00000223822
438	15	21217888	21217918	IGHD3OR15-3B	ENSG00000271255
439	13	39743773	39744088	NXT1P1	ENSG00000214823
440	15	21220377	21220407	IGHD2OR15-2B	ENSG00000271305
441	13	40021252	40021353	snoU13	ENSG00000238408
442	13	40226715	40226806	AL512505.1	ENSG00000216014
443	13	40238171	40238272	MIR4305	ENSG00000264171
444	21	24779978	24781448	TUBAP	ENSG00000237569
445	13	40359552	40359647	RNY4P14	ENSG00000200526
446	13	40391878	40392186	CDKN2AIPNLP3	ENSG00000224351
447	15	49280673	49338760	SECISBP2L	ENSG00000138593
448	13	40430847	40431231	AZU1P1	ENSG00000270444
449	13	40431272	40431364	SNORD116	ENSG00000212553
450	15	21223129	21223145	IGHD1OR15-1B	ENSG00000270185
451	13	40755946	40763165	LINC00332	ENSG00000230710
452	13	40798762	40798999	RPL17P51	ENSG00000271429
453	13	40800964	40801069	RNY3P9	ENSG00000207458
454	15	22011370	22012050	DKFZP547L112	ENSG00000268531
455	13	40918094	40924440	RP11-172E9.2	ENSG00000230058
456	13	40981259	40981577	RN7SKP2	ENSG00000252812
457	13	41025131	41055143	LINC00598	ENSG00000215483
458	13	41192875	41195485	RLIMP1	ENSG00000229456
459	13	41301964	41302011	MIR320D1	ENSG00000211491
460	13	41384902	41384997	MIR621	ENSG00000207652
461	13	41396432	41495890	TPTE2P5	ENSG00000168852
462	15	22051853	22083227	POTEB	ENSG00000233917
463	21	10906201	11029719	TPTE	ENSG00000166157
465	13	41437735	41438038	CYCSP34	ENSG00000176268
466	13	41482295	41495910	SUGT1P3	ENSG00000239827
467	13	41566915	41567467	RGS17P1	ENSG00000229473
468	13	41675155	41675236	MIR3168	ENSG00000264226
469	21	24804501	24804602	Y_RNA	ENSG00000199698
470	13	41696012	41696305	RN7SL597P	ENSG00000244264
471	21	24849960	24863043	AP000459.7	ENSG00000227716
472	13	41744836	41745284	CALM2P3	ENSG00000215482
473	21	25261114	25262857	AP000474.1	ENSG00000231986
474	13	41754117	41754223	snoU13	ENSG00000238651
475	13	41773968	41774943	MORF4L1P4	ENSG00000225133
476	21	25333220	25339588	AP000477.2	ENSG00000235564
477	13	41861877	41862456	RAC1P3	ENSG00000231404
478	21	25415572	25422601	AP000477.3	ENSG00000226996
479	18	22069339	22071044	RP11-178F10.2	ENSG00000264695
480	13	41928693	41928795	RNU6-57P	ENSG00000223280
481	21	25527484	25560655	AP000470.2	ENSG00000224018
482	18	22096847	22097970	RP11-178F10.3	ENSG00000266489
483	13	41958909	41959319	TUBBP2	ENSG00000214222
484	21	25676863	25693690	AP000469.2	ENSG00000224832
485	18	22102237	22102883	RP11-178F10.4	ENSG00000266181
486	13	42005425	42006446	OR7E36P	ENSG00000205240
487	21	25801054	25920256	AP000476.1	ENSG00000237484
488	18	22208146	22242162	RP11-449D8.1	ENSG00000265485
489	13	42013952	42015035	OR7E155P	ENSG00000234655
490	18	22253127	22254312	RP11-449D8.2	ENSG00000263553
491	18	22265736	22266315	RAC1P1	ENSG00000266520
492	13	42016906	42017786	OR7E37P	ENSG00000215480
493	18	22269878	22270125	RP11-449D8.3	ENSG00000266809
494	13	42019427	42019503	AL354833.1	ENSG00000263907
